L103BJG04|2502.83|Toshiba 4000 IT P4-1800/1GB/60GB|T4000|3089.58|3|31/10/2002|WA|MG,KO,BG,HGY,KO,PL,SA
L103BJG04|2876.32|Toshiba 4000 IT P4-1800/1GB/60GB|T5000|3359.95|69|20/04/1999|NT|KO,JK
L103BJG04|928.86|Toshiba 4000 IT P4-1800/1GB/60GB|T8000|985.76|59|21/12/2000|NT|MG,HGY,PL,KO,BG
L103BJG04|2359.81|Toshiba 4000 IT P4-1800/1GB/60GB|T6000|2977.21|38|06/06/2001|SYD|MG,PL,PL,MG,WER,MG,KJH,KO
L103BJG04|2593.12|Toshiba 4000 IT P4-1800/1GB/60GB|T4000|2686.15|1|07/10/1999|SA|BG,MG,KJH,KJH,KO,KO
L103BJG04|2609.13|Toshiba 4000 IT P4-1800/1GB/60GB|T5000|3474.58|12|02/06/1999|SA|WER,RT,HGY,WER,WER,PL,HGY
A100AIX09|2531.34|Compaq 9000 GR P4-1700/256/40GB|C9000|2853.34|3|22/01/2002|WA|WER,PL,HGY,SA
A100AIX09|2809.35|Compaq 9000 GR P4-1700/256/40GB|C12000|2925.53|36|20/08/1999|VIC|HGY,WER,KO
A100AIX09|218.86|Compaq 9000 GR P4-1700/256/40GB|C16000|336.00|41|31/09/2002|WA|KO
A100AIX09|231.26|Compaq 9000 GR P4-1700/256/40GB|C9000|401.55|1|15/08/2000|NSW|HGY,HGY,HGY,HGY
A100AIX09|7.85|Compaq 9000 GR P4-1700/256/40GB|C10000|613.88|75|21/08/1999|SYD|RT,SA
A100AIX09|2389.21|Compaq 9000 GR P4-1700/256/40GB|C15000|2497.83|16|04/08/1999|WA|MG,JK,JK,BG,SA,PL,KJH,WER,RT
A100AIX09|2970.60|Compaq 9000 GR P4-1700/256/40GB|C12000|3884.43|5|27/07/2002|ALIC|HGY,SA,MG
A100AIX09|2862.50|Compaq 9000 GR P4-1700/256/40GB|C11000|3230.32|64|02/10/2001|PER|HGY,HGY,WER,RT,JK,RT,BG,PL,KO,JK
A100AIX09|1475.88|Compaq 9000 GR P4-1700/256/40GB|C14000|1894.92|51|23/01/2000|SYD|HGY
B111KYK01|643.96|Dell 1000 FR P4-1700/128/40GB|D1000|726.45|10|22/05/2000|PER|MG
B111KYK01|1096.08|Dell 1000 FR P4-1700/128/40GB|D8000|1252.36|23|21/12/1999|SYD|PL,KO,PL,KJH,BG,HGY,WER,WER,RT
E100QTG07|2614.56|Fujitsu 7000 SP P4-1700/512/10GB|F7000|3043.42|8|04/10/1999|NT|PL,MG,SA,WER,JK,KJH,PL,RT,MG
E100QTG07|2964.16|Fujitsu 7000 SP P4-1700/512/10GB|F11000|2995.49|98|13/11/2002|ALIC|KJH,BG,RT,WER,PL,KJH
E100QTG07|2207.32|Fujitsu 7000 SP P4-1700/512/10GB|F10000|2715.77|21|22/10/2000|QLD|WER,JK,WER
E100QTG07|2808.36|Fujitsu 7000 SP P4-1700/512/10GB|F14000|2920.73|5|05/07/2002|WA|RT
E100QTG07|230.41|Fujitsu 7000 SP P4-1700/512/10GB|F10000|1084.64|80|27/09/2002|VIC|RT,PL,JK,BG,PL,KO,MG,BG
K113JAD05|2855.77|Fujitsu 5000 IT P3-1200/512/10GB|F5000|3434.98|2|12/01/2001|PER|PL
K113JAD05|1228.69|Fujitsu 5000 IT P3-1200/512/10GB|F12000|1960.25|76|02/09/2002|QLD|PL,PL
K113JAD05|1660.33|Fujitsu 5000 IT P3-1200/512/10GB|F12000|2038.11|68|05/01/2002|PER|PL,HGY,KO,PL
K113JAD05|667.36|Fujitsu 5000 IT P3-1200/512/10GB|F8000|1660.40|96|31/08/2001|NSW|BG,BG
K113JAD05|1410.30|Fujitsu 5000 IT P3-1200/512/10GB|F12000|1816.93|37|14/04/2002|NT|KJH,WER,RT,KO,MG,MG,HGY,MG,MG,MG
K113JAD05|888.51|Fujitsu 5000 IT P3-1200/512/10GB|F11000|1073.74|78|09/11/2001|SYD|BG,MG,SA,WER,WER,MG,HGY,MG,RT
